chr1	HAVANA	gene	11121	24894	.	+	.	gene_id "ENSG00000290825.2"; gene_type "lncRNA"; gene_name "DDX11L16"; level 2; tag "overlaps_pseudogene";
chr1	HAVANA	gene	12010	13670	.	+	.	gene_id "ENSG00000223972.6"; gene_type "transcribed_unprocessed_pseudogene"; gene_name "DDX11L1"; level 2; hgnc_id "HGNC:37102"; havana_gene "OTTHUMG00000000961.2";
chr1	HAVANA	gene	14356	30744	.	-	.	gene_id "ENSG00000310526.1"; gene_type "lncRNA"; gene_name "WASH7P"; level 2; hgnc_id "HGNC:38034"; tag "ncRNA_host"; tag "overlapping_locus"; tag "overlaps_pseudogene";
chr1	HAVANA	gene	14696	24886	.	-	.	gene_id "ENSG00000227232.6"; gene_type "transcribed_unprocessed_pseudogene"; gene_name "WASH7P"; level 2; hgnc_id "HGNC:38034"; tag "overlapping_locus"; havana_gene "OTTHUMG00000000958.1";
chr1	ENSEMBL	gene	17369	17436	.	-	.	gene_id "ENSG00000278267.1"; gene_type "miRNA"; gene_name "MIR6859-1"; level 3; hgnc_id "HGNC:50039";
chr1	HAVANA	gene	28589	31109	.	+	.	gene_id "ENSG00000243485.6"; gene_type "lncRNA"; gene_name "MIR1302-2HG"; level 2; hgnc_id "HGNC:52482"; tag "ncRNA_host"; havana_gene "OTTHUMG00000000959.2";
chr1	ENSEMBL	gene	30366	30503	.	+	.	gene_id "ENSG00000284332.1"; gene_type "miRNA"; gene_name "MIR1302-2"; level 3; hgnc_id "HGNC:35294";
chr1	HAVANA	gene	34553	37595	.	-	.	gene_id "ENSG00000237613.3"; gene_type "lncRNA"; gene_name "FAM138A"; level 2; hgnc_id "HGNC:32334"; havana_gene "OTTHUMG00000000960.1";
chr1	HAVANA	gene	36526	40778	.	+	.	gene_id "ENSG00000308361.1"; gene_type "lncRNA"; gene_name "ENSG00000308361"; level 2;
chr1	HAVANA	gene	51891	64116	.	+	.	gene_id "ENSG00000290826.2"; gene_type "lncRNA"; gene_name "ENSG00000290826"; level 2; tag "overlapping_locus"; tag "overlaps_pseudogene";
chr1	HAVANA	gene	52473	53312	.	+	.	gene_id "ENSG00000268020.3"; gene_type "transcribed_unprocessed_pseudogene"; gene_name "OR4G4P"; level 2; hgnc_id "HGNC:14822"; tag "overlapping_locus"; havana_gene "OTTHUMG00000185779.1";
chr1	HAVANA	gene	62949	63887	.	+	.	gene_id "ENSG00000240361.3"; gene_type "transcribed_unprocessed_pseudogene"; gene_name "OR4G11P"; level 2; hgnc_id "HGNC:31276"; havana_gene "OTTHUMG00000001095.3";
chr1	HAVANA	gene	65419	71585	.	+	.	gene_id "ENSG00000186092.7"; gene_type "protein_coding"; gene_name "OR4F5"; level 2; hgnc_id "HGNC:14825"; havana_gene "OTTHUMG00000001094.4";
